序号,英文问题,英文回答
1,"In 2023, ChatGPT has been released and widely used, accelerating the deployment of large models in various industries. In the communications industry, the intelligent customer service is a field where large models can be most quickly used to accelerate intelligence capabilities. What AI capabilities does AICC (Huawei's intelligent cloud customer service solution) provide? What are the application scenarios?","Huawei AICC integrates Pangu models to complete intelligent training more quickly and cost-effectively. It supports end-to-end full-process intelligence, reducing the cost per call by 30%.
Huawei AICC supports the following AI scenarios:
1.AI response robot that processes customer services in self-service mode.
2.Intelligent agent assistant that supports agent script generation and knowledge recommendation.
3.Intelligent case filling and inspection, reducing the workload of agents and inspectors.
4.AI-enabled training and simulated call training, scoring, and exams for new agents.
In addition to Huawei Pangu models, Huawei AICC also supports interconnection with mainstream third-party large models."
2,"What capabilities can Huawei AICC provide in toB applications, and what business value can Huawei AICC bring to telecom carriers and their enterprise customers? ","Huawei AICC supports omni-channel and unique native video access capabilities, enabling the transition from offline to online enterprise services, reducing users' offline waiting time, and improving customer satisfaction. Huawei AICC provides the large-capacity automatic outbound call function, enabling enterprises to implement powerful outbound call marketing. In addition, carriers usually bind call center capabilities with their number and line resources for sales to gain high B2B revenues.
[AICC case of China Telecom Guangdong] China Telecom Guangdong provides call center outsourcing services for industries such as finance, government, retail, and manufacturing. The revenue has maintained a compound annual growth rate (CAGR) of about 12% in the past four years, and reached CNY1.6 billion (approximately US$13.67 million) in 2022."
3,What minority languages does Huawei AICC support?,"Huawei is a partner of many professional speech recognition and processing companies, such as iFLYTEK. Through in-depth cooperation with them, Huawei AICC currently supports the basic capabilities of most languages such as Arabic, Spanish, Thai, French, Portuguese, and German. To adapt to local accents and language habits of specific countries, AICC requires about 100 hours of corpus training."
4,"What innovative services of Huawei Mobile Money solution, for example, cross-border remittance, payment, and microfinance, can bring more revenue to carriers?","Currently, Huawei Mobile Money provides three monetization methods:
1.Business monetization: Charging handling fees for ToC services and users' transfer and remittance is the elementary method for Mobile Money's carrier customers to monetize services.
2.Service monetization: Value-added services, such as ad slots, user diversion, and user behavior analysis, are provided for ToB merchants to help them improve operation efficiency. This is an intermediate method for Mobile Money's carrier customers.
3.User monetization: In high-value finance scenarios, banks and micro finances provide credit investigation and small loans, promoting the monetization of high-value users. This is an advanced method for Mobile Money's carrier customers.
[Safaricom, South Africa] Mobile Money contributes an annual revenue of US$1 billion to Safaricom. The revenue from business monetization accounts for 75%, with an annual growth rate of 10%. The revenue from service monetization accounts for 15%, with an annual growth rate of 20%. The revenue from user monetization accounts for 10%, with an annual growth rate of 30%. The small loan service has become one of the strategic directions of Safaricom's Mobile Money service."
5,Platform capabilities are the cornerstone of the construction and rapid development of mobile finance ecosystems. What platform capabilities can Huawei Mobile Money provide for carriers? How can these capabilities support business development?,"Huawei Mobile Money has a service platform (wallet+payment+finance) and an operation support platform.
1.One-stop service platform (integrating the wallet, payment, and finance).
a.Wallet platform: The financial-grade account foundation supports a large capacity of 10,000 TPS, 99.999% reliability, and 300+ OOTB GSMA standard features in emerging markets, helping carriers build a national financial foundation.
b.Payment platform: The super app and digital marketing & AppCube low-code/no-code platform are provided to help carriers complete merchant interconnection within 7 days and end-to-end merchant registration within 45 days, quickly building local ecosystems.
c.Financial platform: AI-based intelligent risk control, 10+ financial scenarios, and 100% configurable parameters help carriers convert 60% of Mobile Money users into financial users, identify 90%+ of high-value users, and limit the percentage of non-performing loan (NPL) to less than 2%.
2.Operation support platform: The visualized operations platform+services, spanning insight, product strategy, marketing planning, and marketing review, improve the revenue, number of monthly active users, and agent activeness, and help carriers improve operation efficiency by 20%."
6, How does Huawei's Mobile Money solution help customers quickly build local ecosystems? ,"Huawei can help carriers quickly build local ecosystems by providing the platform, partners, and operations.
1.Platforms: Huawei's platform provides 700+ open interfaces and can connect to one merchant in seven days.
2.Partners: Huawei has 200+ ecosystem partners and can work with carriers to build local payment scenarios, for example, cross-border e-commerce and gaming.
3.Operation support: Huawei provides 200+ user labels and 10+ operation templates to help local merchants quickly and efficiently acquire customers, improving operation efficiency by 20%+ and enabling carriers to quickly engage local merchants.
[KBZPay case] In 2018, KBZ developed mobile finance from scratch and formulated its ecosystem development strategies. Based on Huawei's one-stop ecosystem platform, KBZ enabled merchants to register within one week and release marketing activities within one week, building a rich ecosystem covering 10+ industries such as e-commerce, retail, catering, education, and entertainment, and growing into the No.1 player in the local market within 18 months. So far, KBZPay has developed 12 million users and 300,000 merchants and has become a comprehensive life service platform for local people. The average monthly transaction frequency of a single user is more than 15 times, the average monthly transaction amount reaches US$3.5 billion, and the GDP is 25%."
7,"How does Huawei's Mobile Money solution ensure fund security and revenue risks in terms of risk control, NPL, and credit scoring?","In traditional emerging markets, carriers' data (billing, network, and Mobile Money) covers a wider range of users and is of greater scale than traditional banking data. Based on the summary of Huawei's successful experience in four sites including Ethio Telecom, KBZ Myanmar, TNM Malawi, and MTN Zambia, Huawei's financial platform integrates carrier data (BSS domain+OSS domain+Mobile Money) and provide the following two core capabilities to help carriers increase financial revenue and reduce risks:
1.Huawei's AI-based credit investigation: PB-level big data–based 5-dimensional credit investigation helps carriers increase the proportion of credit users from 25% to 60%, increase the loan scale by 200%+, and increase the gross profit by 100%+.
2.Huawei's AI-based pricing: AI-based customized dynamic pricing increases the credit line of high-quality customers by 20% and the number of re-loan times by 20%+.
[Case of Ethio Telecom] Within seven months, Ethio Telecom granted credit to 1 million credit investigation users so that they can apply for small loans. This user number far exceeds the number (400,000) of users developed by traditional banks in 20 years. In addition, the bad debt rate of credit services was controlled within 2%."
8,"What capabilities does Huawei's Mobile Money solution provide in terms of cloud-based deployment? For example, does it use the cloud-native architecture? Can the solution be deployed on the public cloud? Is the cloud resource visualization capability provided for carriers to view and predict cloud resource consumption? "," Huawei's Mobile Money solution uses the cloud native architecture and supports Huawei public cloud and AWS. Huawei provides O&M tools to visualize and control all resources and support minute-level scaling, quickly and agilely adapting to various system capacity expansion requirements of customers."
9,The mobile finance market is highly competitive. What are the differentiated advantages of Huawei's Mobile Money solution when compared with Ericsson and Alibaba?,"1.Compared with Ericsson:
a.Huawei's solution has an end-to-end product portfolio of wallet+micro-finance+payment. Ericsson's product solution is incomplete and does not contain any app (Comviva) or financial solution.
b.Huawei's solution supports tens of thousands of TPS. Ericsson has no reference for large sites, and the TPS of its largest site (MTN, Ghana) is less than 1000.
2.Compared with Alibaba:
a.Huawei has verified successful experience in 30+ emerging markets. Alibaba has only one site (VodaPay) outside China (as a technical vendor), which does not have the productization capability and is to be verified by the market.
b.Huawei has complete localized delivery, operation, and O&M processes, short delivery period, and low delivery cost. Alibaba does not have subsidiaries or local services outside China, and the delivery period is long. Go-live time: 4 months for Ethio Telecom VS 15 months for VodaPay."
10,"What is the differentiated competitiveness of Huawei's convergent billing solution, which is based on the cloud native design, in cloud capabilities such as N-Live, gray release, and elastic capacity expansion?","Huawei's convergent billing solution is ahead of competitors in terms of cloud native capabilities. It is the first solution in the industry to containerize all applications and databases. Based on the full-container architecture, Huawei has developed the N-Live solution and applied for a patent (available only from Huawei). The solution can improve reliability by an order of magnitude (from 99.999% to 99.9999%) and implement automatic identification, decision-making, and switchover after a fault occurs. The site switchover time is less than 3 seconds. Based on the industry-leading cloud native architecture, Huawei has also developed a cost-effective cloud-based DR solution, which can complete site switchover within 10 minutes and reduce DR hardware investment by 40%."
11,Can Huawei's convergent billing solution be deployed on the public cloud? Can the solution be deployed and integrated on a third-party cloud? ,"Huawei's convergent billing solution decouples applications from infrastructure and supports deployment on multiple clouds, including private cloud and public cloud. The solution has been integrated with third-party CaaS systems, including Huawei CCE, VMware TANZU, and Google GKE."
12,What are the competitive advantages of Huawei's convergent billing solution in terms of convergence capabilities?,"Huawei's convergent billing solution implements full convergence in terms of services, networks, and architecture. One platform can support all services of customers. The solution has 70+ prepaid and postpaid convergence references, and has converged multiple services such as mobile, fixed network, and TV services for multiple carriers such as TE Egypt, Ethio Telecom, TA Argentina, and Celcom Malaysia. The solution helps customers reduce the churn rate by 50% and OPEX by 30% (TA, Argentina). It also helps customers quickly deploy new ToB services and telco & non-telco convergent services (SFC, Kenya)."
13,We have purchased many Huawei's platforms and tools and Huawei's B.E.S.T. Network professional services every year. How can we integrate the tools and platforms for application to achieve greater value?,"Huawei has built a 1+1+N systematic B.E.S.T. Network service architecture. Through process collaboration in experience, maintenance, and optimization, Huawei streamlines the existing tools and platforms and integrates them into a unified digital platform foundation. Based on the requirements of different services and scenarios on the live network, the platform capabilities and professional services are provided to deliver ultimate user experience in various scenarios."
14,Can Huawei's B.E.S.T. Network service promise end user experience improvement and corresponding business benefits?,"Different services have different experience requirements. For example, gaming services are sensitive to latency, short video services have high requirements on downlink rates, and live broadcast services require uplink quality assurance. Huawei can work with carriers to determine specific service experience requirements and measurement indicators, perform targeted modeling and fitting based on the integrated experience and optimization solution, and promise end user experience improvement and closed-loop management.
Many factors affect business benefits, and business improvement is a systematic project. Excellent networks and user experience are necessary conditions for business success and can help improve business indicators. Huawei can work with carriers to identify weaknesses promptly and discuss solutions and improvement paths."
15,Can the black technologies and related tools and platforms used in the B.E.S.T. Network service be sold separately?,"The B.E.S.T. Network service is sold in the form of an overall solution. Huawei believers that black technologies, tools, and platforms are auxiliary technologies and capabilities, which can generate greater value and bring greater benefits if combined with the professional services provided by Huawei's expert team."
16,Can Huawei's intelligent O&M solution implement E2E all-domain management? Does the solution support multi-vendor (MV) maintenance? Is multi-domain (such as FBB and MBB) O&M association supported?,"Comprehensive MV data collection capabilities are provided. MV topology restoration is supported in 12 mainstream networking scenarios and 35 mainstream sub-scenarios. MV single- and cross-domain scenario monitoring and alarm association are supported. The MV fault diagnosis capability is preliminarily built in single domains such as the wireless domain. MV prediction and prevention start to be supported in the core network/HBB/optical access domains. The MV capability is preliminarily built in ToH HBB O&M and provisioning and ToB private line O&M. (For details, see the following figure.) 
Currently, NOC-SOC collaboration is implemented through the collaboration between AUTIN and SmartCare. Both AUTIN and SmartCare support MV devices, and therefore NOC-SOC collaboration also supports MV devices."
17,What is the accuracy of fault root cause recommendation based on AI models?,"AI models need to be trained and optimized based on the actual network data of projects. Take China Mobile Zhejiang as an example. Three fault root causes are recommended based on AI models. The accuracy of the top 1 root cause is about 70%, and the accuracy of the top 3 root causes is up to 93.86%."
